       V(V1)      I(D1)
                    (A)
   0.000E+00  1.000E-50
   2.002E-03  2.855E-15
   4.004E-03  5.711E-15
   6.006E-03  8.657E-15
   8.008E-03  1.169E-14
   1.001E-02  1.473E-14
   1.201E-02  1.799E-14
   1.401E-02  2.124E-14
   1.602E-02  2.465E-14
   1.802E-02  2.817E-14
   2.002E-02  3.170E-14
   2.202E-02  3.555E-14
   2.402E-02  3.939E-14
   2.603E-02  4.346E-14
   2.803E-02  4.771E-14
   3.003E-02  5.195E-14
   3.203E-02  5.667E-14
   3.403E-02  6.139E-14
   3.604E-02  6.644E-14
   3.804E-02  7.174E-14
   4.004E-02  7.705E-14
   4.204E-02  8.305E-14
   4.404E-02  8.906E-14
   4.605E-02  9.554E-14
   4.805E-02  1.024E-13
   5.005E-02  1.093E-13
   5.205E-02  1.172E-13
   5.405E-02  1.251E-13
   5.606E-02  1.337E-13
   5.806E-02  1.428E-13
   6.006E-02  1.520E-13
   6.206E-02  1.627E-13
   6.406E-02  1.733E-13
   6.607E-02  1.851E-13
   6.807E-02  1.976E-13
   7.007E-02  2.102E-13
   7.207E-02  2.249E-13
   7.407E-02  2.397E-13
   7.608E-02  2.560E-13
   7.808E-02  2.735E-13
   8.008E-02  2.911E-13
   8.208E-02  3.119E-13
   8.408E-02  3.327E-13
   8.609E-02  3.558E-13
   8.809E-02  3.806E-13
   9.009E-02  4.056E-13
   9.209E-02  4.353E-13
   9.409E-02  4.649E-13
   9.610E-02  4.980E-13
   9.810E-02  5.335E-13
   1.001E-01  5.694E-13
   1.021E-01  6.121E-13
   1.041E-01  6.548E-13
   1.061E-01  7.023E-13
   1.081E-01  7.537E-13
   1.101E-01  8.056E-13
   1.121E-01  8.675E-13
   1.141E-01  9.295E-13
   1.161E-01  9.984E-13
   1.181E-01  1.073E-12
   1.201E-01  1.149E-12
   1.221E-01  1.239E-12
   1.241E-01  1.329E-12
   1.261E-01  1.430E-12
   1.281E-01  1.539E-12
   1.301E-01  1.649E-12
   1.321E-01  1.780E-12
   1.341E-01  1.912E-12
   1.361E-01  2.059E-12
   1.381E-01  2.219E-12
   1.401E-01  2.380E-12
   1.421E-01  2.573E-12
   1.441E-01  2.766E-12
   1.461E-01  2.982E-12
   1.481E-01  3.215E-12
   1.502E-01  3.466E-12
   1.522E-01  3.749E-12
   1.542E-01  4.032E-12
   1.562E-01  4.352E-12
   1.582E-01  4.695E-12
   1.602E-01  5.045E-12
   1.622E-01  5.461E-12
   1.642E-01  5.877E-12
   1.662E-01  6.346E-12
   1.682E-01  6.850E-12
   1.702E-01  7.365E-12
   1.722E-01  7.977E-12
   1.742E-01  8.588E-12
   1.762E-01  9.277E-12
   1.782E-01  1.002E-11
   1.802E-01  1.078E-11
   1.822E-01  1.167E-11
   1.842E-01  1.257E-11
   1.862E-01  1.359E-11
   1.882E-01  1.468E-11
